t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519831217,20,552.167496,275.977436,8.935359,154.476063,234.745620,434.845615,454.958436,552.167496,552.167496,552.167496,3.094353,2.800000,2.800000,2.800000,calls/second,milliseconds
1519831217,30,501.597896,147.502992,11.797030,158.387168,18.907938,235.849544,472.349003,501.597896,501.597896,501.597896,2.395504,3.840089,3.966943,3.988920,calls/second,milliseconds
1519831217,30,501.597896,147.502992,11.797030,158.387168,18.907938,235.849544,472.349003,501.597896,501.597896,501.597896,2.389191,3.840089,3.966943,3.988920,calls/second,milliseconds
1519831217,30,501.597896,147.502992,11.797030,158.387168,18.907938,235.849544,472.349003,501.597896,501.597896,501.597896,2.343283,3.840089,3.966943,3.988920,calls/second,milliseconds
1519831280,49,1396.627711,476.973108,25.909475,361.147287,458.604331,681.155401,1302.904698,1396.627711,1396.627711,1396.627711,3.860876,2.895947,2.819834,2.806648,calls/second,milliseconds
1519831280,49,1396.627711,476.973108,25.909475,361.147287,458.604331,681.155401,1302.904698,1396.627711,1396.627711,1396.627711,3.794197,2.895947,2.819834,2.806648,calls/second,milliseconds
1519831280,49,1396.627711,476.973108,25.909475,361.147287,458.604331,681.155401,1302.904698,1396.627711,1396.627711,1396.627711,3.727179,2.895947,2.819834,2.806648,calls/second,milliseconds
1519831280,49,1396.627711,476.973108,25.909475,361.147287,458.604331,681.155401,1302.904698,1396.627711,1396.627711,1396.627711,3.604066,2.895947,2.819834,2.806648,calls/second,milliseconds
1519831281,50,1396.627711,471.648574,25.909475,358.971876,458.604331,681.155401,1302.904698,1306.311119,1396.627711,1396.627711,3.651963,2.895947,2.819834,2.806648,calls/second,milliseconds
1519831281,50,1396.627711,471.648574,25.909475,358.971876,458.604331,681.155401,1302.904698,1306.311119,1396.627711,1396.627711,3.614809,2.895947,2.819834,2.806648,calls/second,milliseconds
1519831338,50,2040.197396,559.863853,27.886564,468.579173,469.829568,859.640530,1529.626883,2034.344553,2040.197396,2040.197396,3.792947,3.079956,3.016529,3.005540,calls/second,milliseconds
1519831338,50,2040.197396,559.863853,27.886564,468.579173,469.829568,859.640530,1529.626883,2034.344553,2040.197396,2040.197396,3.735736,3.079956,3.016529,3.005540,calls/second,milliseconds
1519831338,50,2040.197396,559.863853,27.886564,468.579173,469.829568,859.640530,1529.626883,2034.344553,2040.197396,2040.197396,3.666902,3.079956,3.016529,3.005540,calls/second,milliseconds
1519831338,50,2040.197396,559.863853,27.886564,468.579173,469.829568,859.640530,1529.626883,2034.344553,2040.197396,2040.197396,3.609314,3.079956,3.016529,3.005540,calls/second,milliseconds
1519831339,50,2040.197396,559.863853,27.886564,468.579173,469.829568,859.640530,1529.626883,2034.344553,2040.197396,2040.197396,3.552450,3.079956,3.016529,3.005540,calls/second,milliseconds
1519831417,49,3672.887685,564.638903,26.106283,592.074594,463.508293,693.087041,1407.612572,2127.053183,3672.887685,3672.887685,3.360508,1.975902,1.836363,1.812188,calls/second,milliseconds
1519831417,49,3672.887685,564.638903,26.106283,592.074594,463.508293,693.087041,1407.612572,2127.053183,3672.887685,3672.887685,3.314045,1.975902,1.836363,1.812188,calls/second,milliseconds
1519831417,49,3672.887685,564.638903,26.106283,592.074594,463.508293,693.087041,1407.612572,2127.053183,3672.887685,3672.887685,3.267843,1.975902,1.836363,1.812188,calls/second,milliseconds
1519831418,49,3672.887685,564.638903,26.106283,592.074594,463.508293,693.087041,1407.612572,2127.053183,3672.887685,3672.887685,3.144267,2.137740,1.872125,1.824309,calls/second,milliseconds
1519831418,49,3672.887685,564.638903,26.106283,592.074594,463.508293,693.087041,1407.612572,2127.053183,3672.887685,3672.887685,3.112700,2.137740,1.872125,1.824309,calls/second,milliseconds
1519831418,50,3672.887685,583.260711,26.106283,598.391148,463.508293,842.363840,1407.612572,2127.053183,3672.887685,3672.887685,3.167479,2.137740,1.872125,1.824309,calls/second,milliseconds
1519831418,50,3672.887685,583.260711,26.106283,598.391148,463.508293,842.363840,1407.612572,2127.053183,3672.887685,3672.887685,3.123384,2.137740,1.872125,1.824309,calls/second,milliseconds
1519831419,50,3672.887685,583.260711,26.106283,598.391148,463.508293,842.363840,1407.612572,2127.053183,3672.887685,3672.887685,3.015516,2.137740,1.872125,1.824309,calls/second,milliseconds
1519831457,43,1545.006409,448.239750,24.264105,371.734806,433.984771,657.435146,1187.376319,1545.006409,1545.006409,1545.006409,3.719276,3.047973,3.009917,3.003324,calls/second,milliseconds
1519831458,43,1545.006409,448.239750,24.264105,371.734806,433.984771,657.435146,1187.376319,1545.006409,1545.006409,1545.006409,3.511586,3.047973,3.009917,3.003324,calls/second,milliseconds
1519831458,43,1545.006409,448.239750,24.264105,371.734806,433.984771,657.435146,1187.376319,1545.006409,1545.006409,1545.006409,3.452378,3.047973,3.009917,3.003324,calls/second,milliseconds
1519831458,45,1545.006409,454.156793,24.264105,364.757548,436.670667,671.369413,1187.376319,1545.006409,1545.006409,1545.006409,3.579138,3.047973,3.009917,3.003324,calls/second,milliseconds
1519831459,45,1545.006409,454.156793,24.264105,364.757548,436.670667,671.369413,1187.376319,1545.006409,1545.006409,1545.006409,3.393391,3.047973,3.009917,3.003324,calls/second,milliseconds
1519831504,10,14.759657,9.281835,6.712487,2.521722,7.952223,11.565969,14.759657,14.759657,14.759657,14.759657,3.268559,0.000000,0.000000,0.000000,calls/second,milliseconds
1519831505,10,14.759657,9.281835,6.712487,2.521722,7.952223,11.565969,14.759657,14.759657,14.759657,14.759657,2.450723,0.000000,0.000000,0.000000,calls/second,milliseconds
1519831506,10,14.759657,9.281835,6.712487,2.521722,7.952223,11.565969,14.759657,14.759657,14.759657,14.759657,1.974909,2.000000,2.000000,2.000000,calls/second,milliseconds
1519831507,10,14.759657,9.281835,6.712487,2.521722,7.952223,11.565969,14.759657,14.759657,14.759657,14.759657,1.649672,2.000000,2.000000,2.000000,calls/second,milliseconds
1519831782,50,967.899953,445.587479,27.784705,310.991229,448.488729,680.492265,949.936691,967.899953,967.899953,967.899953,4.411458,4.079956,4.016529,4.005540,calls/second,milliseconds
1519831782,50,967.899953,445.587479,27.784705,310.991229,448.488729,680.492265,949.936691,967.899953,967.899953,967.899953,4.335723,4.079956,4.016529,4.005540,calls/second,milliseconds
1519831782,50,967.899953,445.587479,27.784705,310.991229,448.488729,680.492265,949.936691,967.899953,967.899953,967.899953,4.260316,4.079956,4.016529,4.005540,calls/second,milliseconds
1519831783,50,967.899953,445.587479,27.784705,310.991229,448.488729,680.492265,949.936691,967.899953,967.899953,967.899953,4.183411,4.079956,4.016529,4.005540,calls/second,milliseconds
1519831783,50,967.899953,445.587479,27.784705,310.991229,448.488729,680.492265,949.936691,967.899953,967.899953,967.899953,4.112503,4.079956,4.016529,4.005540,calls/second,milliseconds
1519831783,50,967.899953,445.587479,27.784705,310.991229,448.488729,680.492265,949.936691,967.899953,967.899953,967.899953,4.051899,4.079956,4.016529,4.005540,calls/second,milliseconds
1519831783,50,967.899953,445.587479,27.784705,310.991229,448.488729,680.492265,949.936691,967.899953,967.899953,967.899953,3.989330,4.079956,4.016529,4.005540,calls/second,milliseconds
1519831783,50,967.899953,445.587479,27.784705,310.991229,448.488729,680.492265,949.936691,967.899953,967.899953,967.899953,3.925720,4.079956,4.016529,4.005540,calls/second,milliseconds
1519831963,50,2828.949986,534.935739,27.695466,496.032716,431.770011,808.745522,1624.838422,1638.205104,2828.949986,2828.949986,3.880196,2.239867,2.049586,2.016620,calls/second,milliseconds
1519831963,50,2828.949986,534.935739,27.695466,496.032716,431.770011,808.745522,1624.838422,1638.205104,2828.949986,2828.949986,3.819326,2.239867,2.049586,2.016620,calls/second,milliseconds
1519831963,50,2828.949986,534.935739,27.695466,496.032716,431.770011,808.745522,1624.838422,1638.205104,2828.949986,2828.949986,3.759926,2.239867,2.049586,2.016620,calls/second,milliseconds
1519831964,50,2828.949986,534.935739,27.695466,496.032716,431.770011,808.745522,1624.838422,1638.205104,2828.949986,2828.949986,3.700957,2.239867,2.049586,2.016620,calls/second,milliseconds
1519831964,50,2828.949986,534.935739,27.695466,496.032716,431.770011,808.745522,1624.838422,1638.205104,2828.949986,2828.949986,3.646617,2.239867,2.049586,2.016620,calls/second,milliseconds
1519831964,50,2828.949986,534.935739,27.695466,496.032716,431.770011,808.745522,1624.838422,1638.205104,2828.949986,2828.949986,3.599486,2.239867,2.049586,2.016620,calls/second,milliseconds
1519831964,50,2828.949986,534.935739,27.695466,496.032716,431.770011,808.745522,1624.838422,1638.205104,2828.949986,2828.949986,3.548797,2.239867,2.049586,2.016620,calls/second,milliseconds
1519831964,50,2828.949986,534.935739,27.695466,496.032716,431.770011,808.745522,1624.838422,1638.205104,2828.949986,2828.949986,3.493193,2.239867,2.049586,2.016620,calls/second,milliseconds
1519832411,20,1522.311656,187.650729,11.010400,320.841440,213.043016,237.192643,292.034016,1522.311656,1522.311656,1522.311656,3.187140,3.200000,3.200000,3.200000,calls/second,milliseconds
1519832487,20,428.243703,132.603860,10.560898,127.483839,23.442623,232.234297,281.192179,428.243703,428.243703,428.243703,4.124252,0.000000,0.000000,0.000000,calls/second,milliseconds
1519832561,10,13.795151,9.157638,7.416186,1.769628,8.398721,10.045894,13.795151,13.795151,13.795151,13.795151,3.890523,0.000000,0.000000,0.000000,calls/second,milliseconds
1519832619,20,254.767698,113.941878,10.604466,104.103037,95.115991,224.263144,254.767698,254.767698,254.767698,254.767698,4.236360,0.000000,0.000000,0.000000,calls/second,milliseconds
1519832845,17,220.614244,95.299673,8.116279,98.525873,15.457347,213.395467,220.614244,220.614244,220.614244,220.614244,4.648014,0.000000,0.000000,0.000000,calls/second,milliseconds
1519832846,17,220.614244,95.299673,8.116279,98.525873,15.457347,213.395467,220.614244,220.614244,220.614244,220.614244,3.642690,0.000000,0.000000,0.000000,calls/second,milliseconds
1519832886,20,296.913338,120.448848,10.440109,109.232188,23.652650,213.526772,246.219043,296.913338,296.913338,296.913338,4.154160,0.000000,0.000000,0.000000,calls/second,milliseconds
1519832921,10,14.244052,9.398483,8.019828,1.690543,8.921237,9.311246,14.244052,14.244052,14.244052,14.244052,4.199028,0.000000,0.000000,0.000000,calls/second,milliseconds
1519832922,10,14.244052,9.398483,8.019828,1.690543,8.921237,9.311246,14.244052,14.244052,14.244052,14.244052,2.956883,0.000000,0.000000,0.000000,calls/second,milliseconds
1519832923,10,14.244052,9.398483,8.019828,1.690543,8.921237,9.311246,14.244052,14.244052,14.244052,14.244052,2.267246,0.000000,0.000000,0.000000,calls/second,milliseconds
1519832924,10,14.244052,9.398483,8.019828,1.690543,8.921237,9.311246,14.244052,14.244052,14.244052,14.244052,1.857262,2.000000,2.000000,2.000000,calls/second,milliseconds
1519832925,10,14.244052,9.398483,8.019828,1.690543,8.921237,9.311246,14.244052,14.244052,14.244052,14.244052,1.565278,2.000000,2.000000,2.000000,calls/second,milliseconds
1519832926,10,14.244052,9.398483,8.019828,1.690543,8.921237,9.311246,14.244052,14.244052,14.244052,14.244052,1.354605,2.000000,2.000000,2.000000,calls/second,milliseconds
1519832927,10,14.244052,9.398483,8.019828,1.690543,8.921237,9.311246,14.244052,14.244052,14.244052,14.244052,1.192328,2.000000,2.000000,2.000000,calls/second,milliseconds
1519832928,10,14.244052,9.398483,8.019828,1.690543,8.921237,9.311246,14.244052,14.244052,14.244052,14.244052,1.065643,2.000000,2.000000,2.000000,calls/second,milliseconds
1519832975,20,4704.252484,336.080536,10.623396,989.462487,210.496537,227.572815,238.560379,4704.252484,4704.252484,4704.252484,2.189296,0.400000,0.400000,0.400000,calls/second,milliseconds
1519833002,20,17.659488,9.680164,7.265049,2.431901,9.252053,9.577161,14.274099,17.659488,17.659488,17.659488,4.154720,0.000000,0.000000,0.000000,calls/second,milliseconds
1519833056,20,94.730488,13.319474,7.608787,18.553655,8.613556,9.086495,20.035900,94.730488,94.730488,94.730488,4.223956,0.000000,0.000000,0.000000,calls/second,milliseconds
1519833130,20,272.754397,21.992569,7.183623,56.591408,8.557668,9.208186,19.110454,272.754397,272.754397,272.754397,4.193109,0.000000,0.000000,0.000000,calls/second,milliseconds
1519833410,20,5604.661301,735.898840,6.308355,1367.138099,439.526629,503.860731,5604.661301,5604.661301,5604.661301,5604.661301,0.281061,0.238620,0.061793,0.021655,calls/second,milliseconds
1519833411,20,5604.661301,735.898840,6.308355,1367.138099,439.526629,503.860731,5604.661301,5604.661301,5604.661301,5604.661301,0.276241,0.238620,0.061793,0.021655,calls/second,milliseconds
1519833413,20,5604.661301,735.898840,6.308355,1367.138099,439.526629,503.860731,5604.661301,5604.661301,5604.661301,5604.661301,0.266533,0.219541,0.060772,0.021535,calls/second,milliseconds
1519833414,20,5604.661301,735.898840,6.308355,1367.138099,439.526629,503.860731,5604.661301,5604.661301,5604.661301,5604.661301,0.264725,0.219541,0.060772,0.021535,calls/second,milliseconds
1519833498,20,1647.834246,411.950346,6.470008,370.456852,432.484828,495.968902,1647.834246,1647.834246,1647.834246,1647.834246,0.495270,0.462481,0.413166,0.404426,calls/second,milliseconds
1519833570,10,551.860416,455.057539,416.047049,38.738683,440.373651,463.113476,551.860416,551.860416,551.860416,551.860416,0.292646,0.487608,0.574255,0.591215,calls/second,milliseconds
1519833571,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.277166,0.448621,0.564763,0.587940,calls/second,milliseconds
1519833575,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.276722,0.448621,0.564763,0.587940,calls/second,milliseconds
1519833575,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.272170,0.428743,0.558734,0.585791,calls/second,milliseconds
1519833576,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.272154,0.428743,0.558734,0.585791,calls/second,milliseconds
1519833576,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.272138,0.428743,0.558734,0.585791,calls/second,milliseconds
1519833576,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.272120,0.428743,0.558734,0.585791,calls/second,milliseconds
1519833576,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.268591,0.428743,0.558734,0.585791,calls/second,milliseconds
1519833577,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.262007,0.428743,0.558734,0.585791,calls/second,milliseconds
1519833579,11,4663.339669,1007.625132,416.047049,1421.735918,440.373651,495.641992,4663.339669,4663.339669,4663.339669,4663.339669,0.255257,0.428743,0.558734,0.585791,calls/second,milliseconds
